SUMMARY_AREA,SEX,AGE,AGEPOP,MEANLEN,SDEV
939,1,5,3372189.06428902683973677888485190716429,467.81160897812814143247786546409622929,43.71805801062073708634541753596107872558
919,1,1,18344321.55774493705528188286808976464149,179.780803368529820174787238132494176654,21.79831424468415172223103805120482564768
959,1,3,3992206.44241974050290480310764286423515,379.123503195449331259374752512589342761,30.5965034932098082703125423510252413658
919,1,2,42423449.79720158700888924012656264177562,307.311016016665152186815628488930740492,27.34767143158627317355998629933159046994
959,1,7,59012.53626050420168067226890756302521,474.341544981921776721928439869602040968,29.11772265562676177335488755927675822144
959,1,8,123612.7158543417366946778711484593837535,499.746978148719443745568300380878114568,29.12216984206362326461422523971075994719
919,1,3,57895947.56712024959489462532058880943262,389.179835681773374551048967390361522169,30.26719230652225528625362759500055461635
959,1,11,2898.294117647058823529411764705882352941,500,0
929,1,3,16219659.35191958818733666603849159630094,398.037967592026528600647134806474086841,30.79027909616929730892445396658626861443
939,1,3,13174183.569739685601754567271808651119,380.264948577115413686582577615427314468,31.11342347219283421553982208090259141638
939,1,4,11984695.74178606102034093920503656811972,418.323448913520891325450849241876669681,35.27617761790525966281848059988003675342
949,1,3,6226110.90900794269962626960598563032641,377.267987406740389157751095237022622164,36.05319881758066692948921012681909972941
949,1,5,905909.3052264982031716311635175732538816,453.53032598188172733602343199715423469,43.9793131282197266651220960855093134851
919,1,4,60931798.37468818031191256343386160830382,419.627278652871951131741475425321237211,30.15978879866369356005262021427940436808
919,1,6,5141098.22516591251885369532428355957767,471.783440336480095957883347933592676415,33.51172541335345806786906229587424719198
939,1,2,9979797.74257278669043374925727866904338,318.856431238743163376292449272729243399,42.40250115111135752541291876659389081365
929,1,6,2315245.38711412770236299648064353946706,472.317514475835612492403215237911070937,33.34235210059422307521680360002076585609
949,1,9,1013612.42338343029519500107735401853049,494.14307100867885203520439566665752323,22.70691904816679439601559149464445199611
919,1,5,13332264.20719031644488033940366597567409,461.769301065573969044547454947618724288,36.49256582949464242837737197451544174395
929,1,5,5091560.50476270968157377893686210116229,466.451500749188683019935768723079103641,32.14790120629961124741037368454244091731
939,1,9,5203192.35277795733678086619263089851325,502.781367223269124072953750844038293292,23.93408275618683491143447044735097751376
919,1,9,16169006.46589474251238957121310062486533,495.14782909428508616833392687276077605,23.46380492183652638373169637744024889181
959,1,4,3348661.88561866744929625254168864716531,413.029869943461978294154934144334861509,29.57970544444281649310875256654619420642
959,1,6,142387.0950578179989944695827048768225239,450.250243327162471449064593990840194478,30.21328848073310936723731554983102095621
959,1,10,38765.6034920634920634920634920634920635,486.897645909316220775689946244359598414,20.33467792786499975058719245559762965911
949,1,2,14154166.28377040471360958176373997875012,299.370620325819830592132447481153955395,35.99902302938233905871109545721477464794
929,1,10,1037699.20031746031746031746031746031746,487.660865766238480753293843542018867228,18.40964786029325439796636071718086049613
929,1,4,25454698.42075115103512669435590328085259,425.411214504825913137535465613749895253,25.8903571031764642981674067864144647861
929,1,1,100894171.606732348111658456486042692939,169.882739683415809392095164243527033434,20.00591300191021024624947376345992119444
949,1,7,229927.0910197155785391079508726567550097,502.052150007642845656481949321089066861,29.57003435726783189291727386133886104005
959,1,2,5749960.05918958492487904252610134963076,291.639815026947882669466070647860744224,44.48608310887799436225462178422014357369
939,1,1,44658402.22222222222222222222222222222222,174.237711544738053772237758817166220954,21.59141775057858492177210640760952266575
929,1,9,6911337.96217086834733893557422969187675,493.172370808582623057835548821302221311,18.86381213964982211702298513905455316111
939,1,8,3934529.13719887955182072829131652661065,515.963604138716169970361512696847970703,26.2165965662974643868178353334045635028
919,1,-9,2409463,400.731038409803346222789061297060797364,162.018508932066153612686907626785245591
939,1,6,1468581.25176721970839617898441427853193,483.637910947225993519271026083193138113,32.20192541044712127509707318717367911884
939,1,10,844638.2264713064713064713064713064713066,496.74101302546281321729406097045172535,23.48368728351661558975659751661198364065
929,1,11,206603.0588235294117647058823529411764706,499.999999999999999999999999999999999999,0
919,1,11,382150.2352941176470588235294117647058824,499.999999999999999999999999999999999999,0
939,1,-9,251951,611.743235787911141452107751110334946081,37.58148141332377014577287457729927954006
949,1,6,305207.6377199597787833081950729009552539,462.765930750386052378125976665211972998,35.37624059746880452856249866026428887047
959,1,9,226194.9819187675070028011204481792717087,487.095715678910504853275180043040466469,26.7861860874220016309412924788862811199
949,1,-9,967083,414.765961142942229363973929848834071119,182.752401234292951765670134076458366211
919,1,7,3956050.32312378797672915319974143503555,496.928688488072189586791139588168452098,27.99779348430872328838670510159277841959
929,1,8,3907877.43210084033613445378151260504202,499.609609943550256274739704487395625868,21.07706060815881413591024528096842777129
949,1,1,39590360.9441707717569786535303776683087,175.893075054767310595493025668295543426,18.97336508661550000481609769578834803519
939,1,11,131940.294117647058823529411764705882353,500,0
959,1,1,6168538.52380952380952380952380952380953,218.966274901157609231959080467227133348,13.14518657494065391859972432694902361451
949,1,11,31861.7058823529411764705882352941176471,499.999999999999999999999999999999999999,0
919,1,8,10597795.98005602240896358543417366946778,509.906366530811805742526514861641652554,29.82067384215185704863618721035303670774
929,1,2,7269922.867198133171764003407005435403,294.144665744368855085613451340635938236,58.23262288417034714874076271952212116043
949,1,8,926798.0631932773109243697478991596638654,523.482740088500073118342675278145682204,39.46712927639911334320175839357237870235
949,1,10,122732.28993894993894993894993894993895,490.679428253065794537966749179811936462,19.11480930770694348335986334282437585765
929,1,-9,764838,403.020914232817930071466114392851819601,193.310896639946295604746301371865413832
