Survey,Year,Summary Area,NMFS Reporting Area,Species Code,Common Name,Scientific Name,Haul Count,Catch Count,Mean Weight CPUE,Var Weight CPUE,Mean Number CPUE,Var Number CPUE,Area Biomass,Area Biomass Var,Min Area Biomass,Max Area Biomass,Area Population,Area Population Var,Min Area Population,Max Area Population,AKFIN Load Date
AI,1991,299,Western Aleutians,21921,Atka mackerel,Pleurogrammus monopterygius,56,36,22608.1255017403,16988637.0515673,47862.0160419961,102600315.211249,343426.2,3920087467.54119,215575,471277,727042697,23674777947433300,412848113,1041237281,2023-09-14 19:00:20
AI,1991,799,Southern Bering Sea,21921,Atka mackerel,Pleurogrammus monopterygius,55,11,8.21865105922442,9.07223653375543,12.7906130126087,27.1767659199089,61.4,507.8068735148,11,112,95705,1521184823.9058,8808,182602,2023-09-14 19:00:20
AI,1991,3499,Central Aleutians,21921,Atka mackerel,Pleurogrammus monopterygius,91,54,17385.0457561946,9062704.23344814,35273.25497337,42429942.2739057,287593.8,2480079822.84939,172754,402434,583511355,11611285219901800,335026771,831995939,2023-09-14 19:00:20
AI,1991,5699,Eastern Aleutians,21921,Atka mackerel,Pleurogrammus monopterygius,129,24,3064.16374157064,6409281.57469003,7877.33723164218,44170686.0458897,77218,4070295211.9616,0,351745,198512180,28051152040443600,0,919199195,2023-09-14 19:00:20
AI,1994,299,Western Aleutians,21921,Atka mackerel,Pleurogrammus monopterygius,69,23,21542.7162817597,151751004.149397,33282.7873030094,321353401.603742,327242.1,35016182154.4101,0,711973,505578128,74151530723433900,0,1065442938,2023-09-14 19:00:20
AI,1994,799,Southern Bering Sea,21921,Atka mackerel,Pleurogrammus monopterygius,64,17,8902.29067361495,77964621.9468787,6885.33191873512,46622138.6491968,66602.7,4363970314.07857,0,202687,51513070,2609614770947990,0,156746911,2023-09-14 19:00:20
AI,1994,3499,Central Aleutians,21921,Atka mackerel,Pleurogrammus monopterygius,114,49,5064.72674266678,5976026.3063752,7199.45336587839,12013295.6671851,83783.6,1635386291.05402,0,170527,119097633,3287532222462700,0,242085510,2023-09-14 19:00:20
AI,1994,5699,Eastern Aleutians,21921,Atka mackerel,Pleurogrammus monopterygius,133,33,8268.84555023603,13258771.1196265,8218.82663141438,12971394.5612215,208378.5,8420150055.16754,22929,393828,207118041,8237647942243490,23689071,390547011,2023-09-14 19:00:20
AI,1997,299,Western Aleutians,21921,Atka mackerel,Pleurogrammus monopterygius,92,32,8845.51855189393,24742160.8109319,16462.220919116,88145130.9071415,134367.2,5709194576.37567,0,302713,250067305,20339278656964700,0,567815403,2023-09-14 19:00:20
AI,1997,799,Southern Bering Sea,21921,Atka mackerel,Pleurogrammus monopterygius,52,7,12788.7869644816,159592446.342751,8941.05090219833,78413707.394974,95680.1,8932983714.91465,0,291703,66892921,4389107299483420,0,204296122,2023-09-14 19:00:20
AI,1997,3499,Central Aleutians,21921,Atka mackerel,Pleurogrammus monopterygius,116,30,11292.8263633251,16354558.7828292,17221.9365904683,38443135.768954,186812.9,4475552793.52493,49803,323823,284895551,10520264469821200,74835590,494955512,2023-09-14 19:00:20
AI,1997,5699,Eastern Aleutians,21921,Atka mackerel,Pleurogrammus monopterygius,136,17,1791.12027421019,1479985.82595312,1665.68336915743,1295696.9973915,45136.8,939883690.698884,0,142689,41976078,822848742589482,0,133252831,2023-09-14 19:00:20
AI,2000,299,Western Aleutians,21921,Atka mackerel,Pleurogrammus monopterygius,113,55,11828.5122862636,36081655.0226715,25020.3283132172,134740817.490055,179679.8,8325755811.557,0,374124,380068521,31091122166288700,4316220,755820822,2023-09-14 19:00:20
AI,2000,799,Southern Bering Sea,21921,Atka mackerel,Pleurogrammus monopterygius,58,9,273.129199328643,57246.5981543644,194.22939664046,20446.7784036809,2043.6,3204305.3463127,0,5731,1453217,1144482352944.68,0,3657015,2023-09-14 19:00:20
AI,2000,3499,Central Aleutians,21921,Atka mackerel,Pleurogrammus monopterygius,110,44,19963.8890231926,46172185.9994955,33349.8854011877,138367496.555292,330254.7,12635379454.5747,100719,559790,551693925,37865346535136400,154340733,949047117,2023-09-14 19:00:20
AI,2000,5699,Eastern Aleutians,21921,Atka mackerel,Pleurogrammus monopterygius,138,20,36.4568334159443,724.539926294193,42.4832412708202,687.118623009749,918.5,460128.230988648,0,2384,1070559,436363359714.226,0,2497408,2023-09-14 19:00:20
AI,2002,299,Western Aleutians,21921,Atka mackerel,Pleurogrammus monopterygius,107,58,16699.480805785,27908180.3760766,41815.1205968725,164048335.19545,253671.4,6439746037.42822,91490,415853,635187831,37853761953867400,241981197,1028394465,2023-09-14 19:00:20
AI,2002,799,Southern Bering Sea,21921,Atka mackerel,Pleurogrammus monopterygius,61,34,8004.01811475389,62336344.5508,9232.9292518578,82194856.9891753,59882.6,3489197411.78526,0,181093,69076805,4600752327319600,0,208261597,2023-09-14 19:00:20
AI,2002,3499,Central Aleutians,21921,Atka mackerel,Pleurogrammus monopterygius,114,79,20058.7490241924,22450648.4291427,47588.2850348186,190234572.072794,331824.2,6143795355.64051,168789,494860,787234187,52059177002030000,312651398,1261816976,2023-09-14 19:00:20
AI,2002,5699,Eastern Aleutians,21921,Atka mackerel,Pleurogrammus monopterygius,132,57,7571.94939360009,19164553.3899491,12713.40156573,62721573.2582897,190816.8,12170691674.7943,0,474452,320383293,39832127258703200,0,833503156,2023-09-14 19:00:20
AI,2004,299,Western Aleutians,21921,Atka mackerel,Pleurogrammus monopterygius,124,91,24779.7667715006,34925252.2863324,59103.7339405554,206522123.864585,376414.3,8058918639.13444,194986,557842,897807651,47654487353761000,456625215,1338990087,2023-09-14 19:00:20
AI,2004,799,Southern Bering Sea,21921,Atka mackerel,Pleurogrammus monopterygius,53,24,35762.0452714468,240454493.358732,30471.4824160045,173508900.833817,267555.8,13459133703.2235,16967,518145,227974165,9711939512553420,15107951,440840379,2023-09-14 19:00:20
AI,2004,3499,Central Aleutians,21921,Atka mackerel,Pleurogrammus monopterygius,130,79,16265.3085986271,31535951.9936412,38582.5822046659,173574787.296459,269070.7,8630059662.00651,41749,496392,638256387,47500096730568900,104944558,1171568216,2023-09-14 19:00:20
AI,2004,5699,Eastern Aleutians,21921,Atka mackerel,Pleurogrammus monopterygius,112,51,9684.08704445703,10076300.5454137,15298.2531177004,26588198.6666219,244043.1,6399081923.0417,80215,407871,385523010,16885171366912300,119399840,651646180,2023-09-14 19:00:20
AI,2006,299,Western Aleutians,21921,Atka mackerel,Pleurogrammus monopterygius,112,65,6655.38550500287,5421904.55614253,15872.3310622599,37980301.2120601,101097.9,1251091540.55286,28871,173325,241106925,8763863889899310,49944052,432269798,2023-09-14 19:00:20
AI,2006,799,Southern Bering Sea,21921,Atka mackerel,Pleurogrammus monopterygius,44,26,1645.14726560333,528114.263965117,1308.86832201684,308514.841238349,12308.4,29560522.6169829,967,23650,9792242,17268724903638.4,1123732,18460752,2023-09-14 19:00:20
AI,2006,3499,Central Aleutians,21921,Atka mackerel,Pleurogrammus monopterygius,110,61,16807.2561566781,16590990.7546923,29866.4513220045,55837648.8853071,278035.7,4540254249.93239,138287,417785,494068945,15280408892160200,237693611,750444279,2023-09-14 19:00:20
AI,2006,5699,Eastern Aleutians,21921,Atka mackerel,Pleurogrammus monopterygius,91,33,13896.8339741764,57369892.329038,17976.4010989725,95095742.6271987,350206.4,36433474693.9135,0,756962,453013719,60391752395765000,0,976701289,2023-09-14 19:00:20
AI,2010,299,Western Aleutians,21921,Atka mackerel,Pleurogrammus monopterygius,118,82,16814.5307716944,95751514.8364111,37129.1822170138,547059331.54253,255419.4,22094433601.0563,0,558946,564006236,126232635559395000,0,1289513162,2023-09-14 19:00:20
AI,2010,799,Southern Bering Sea,21921,Atka mackerel,Pleurogrammus monopterygius,51,24,13837.8612810645,139987713.5436,9636.01535900472,70372656.3568305,103528.9,7835633791.13472,0,285878,72092394,3939019719396670,0,201381311,2023-09-14 19:00:20
AI,2010,3499,Central Aleutians,21921,Atka mackerel,Pleurogrammus monopterygius,128,81,12021.9562174122,11380322.2587586,24767.3439336281,47912236.1132895,198874.4,3114314103.65386,70186,327563,409716384,13111557763697900,145666215,673766553,2023-09-14 19:00:20
AI,2010,5699,Eastern Aleutians,21921,Atka mackerel,Pleurogrammus monopterygius,121,48,14778.6423655626,118291344.527172,12860.1673917992,80781174.3772648,372428.8,75122412338.1929,0,935947,324082017,51301105038487500,0,789760820,2023-09-14 19:00:20
AI,2012,299,Western Aleutians,21921,Atka mackerel,Pleurogrammus monopterygius,120,81,8794.22172941834,6040953.62353627,14231.2559924015,17562231.2720613,133587.7,1393935635.9042,58133,209043,216177967,4052442965418240,87523530,344832404,2023-09-14 19:00:20
AI,2012,799,Southern Bering Sea,21921,Atka mackerel,Pleurogrammus monopterygius,55,19,134.932438239142,10871.936425264,97.8066912791839,4617.32579281099,1009.5,608542.780451477,0,2672,731794,258448924487.643,0,1815149,2023-09-14 19:00:20
AI,2012,3499,Central Aleutians,21921,Atka mackerel,Pleurogrammus monopterygius,113,63,6596.90318579189,3183285.1703765,15008.9646021129,25182387.8157709,109130,871130858.743988,46558,171702,248287121,6891357182612070,72297020,424277222,2023-09-14 19:00:20
AI,2012,5699,Eastern Aleutians,21921,Atka mackerel,Pleurogrammus monopterygius,132,39,1315.4081777035,371179.983830144,1261.76887648708,324595.57374426,33149.3,235722536.660887,2120,64178,31797343,206138518683989,2780785,60813901,2023-09-14 19:00:20
AI,2014,299,Western Aleutians,21921,Atka mackerel,Pleurogrammus monopterygius,134,100,14169.1428281217,16372270.9318017,26598.2873087301,52484726.9277291,215234.7,3777862455.95397,81304,349165,404038001,12110725518603700,164241793,643834209,2023-09-14 19:00:20
AI,2014,799,Southern Bering Sea,21921,Atka mackerel,Pleurogrammus monopterygius,44,13,192.816531474256,19560.8430188353,141.643221900676,9032.64771206197,1442.6,1094893.24928312,0,3703,1059738,505590939693.466,0,2595604,2023-09-14 19:00:20
AI,2014,3499,Central Aleutians,21921,Atka mackerel,Pleurogrammus monopterygius,110,58,12384.244251474,38665701.8487932,19577.854857705,58067041.689613,204867.8,10581171416.5383,0,420164,323868767,15890499651909200,60030367,587707167,2023-09-14 19:00:20
AI,2014,5699,Eastern Aleutians,21921,Atka mackerel,Pleurogrammus monopterygius,122,53,11999.1125070033,26161923.1912431,14160.684746121,35273505.3004502,302382.5,16614459742.4983,39175,565590,356855432,22400885038424600,51230819,662480045,2023-09-14 19:00:20
