Survey,Year,Summary Area,NMFS Reporting Area,Species Code,Common Name,Scientific Name,Haul Count,Catch Count,Mean Weight CPUE,Var Weight CPUE,Mean Number CPUE,Var Number CPUE,Area Biomass,Area Biomass Var,Min Area Biomass,Max Area Biomass,Area Population,Area Population Var,Min Area Population,Max Area Population,AKFIN Load Date
GOA,1990,919,Shumagin,21740,walleye pollock,Gadus chalcogrammus,135,93,2669.87701657201,772563.716281346,3597.77750260186,1646745.32554762,163622.7,2901626615.35399,53627,273619,220490301,6184913897223020,59898797,381081805,2023-09-14 19:00:20
GOA,1990,929,Chirikof,21740,walleye pollock,Gadus chalcogrammus,156,116,2905.00334271419,381395.932345276,6222.75844035967,4110296.69722865,183116.1,1515414269.7469,102768,263464,392247363,16331590716166600,128478251,656016475,2023-09-14 19:00:20
GOA,1990,939,Kodiak,21740,walleye pollock,Gadus chalcogrammus,215,177,4534.74458867943,535368.271825506,5460.21595622667,599515.106687594,436468.8,4959648854.22071,294140,578797,525543986,5553904794978700,374929921,676158051,2023-09-14 19:00:20
GOA,1990,949,Yakutat,21740,walleye pollock,Gadus chalcogrammus,134,120,863.12543259241,16418.0277859124,4181.61262712416,1166549.91162334,46472,47593216.812943,32316,60628,225141369,3381640206179220,105813728,344469010,2023-09-14 19:00:20
GOA,1990,959,Southeastern,21740,walleye pollock,Gadus chalcogrammus,68,43,699.161624233595,39341.7100064618,1116.16804934948,65441.1874170185,13461.5,14583918.729204,5365,21558,21490172,24258959731939.7,11048454,31931890,2023-09-14 19:00:20
GOA,1993,919,Shumagin,21740,walleye pollock,Gadus chalcogrammus,170,139,5810.47918983591,2920042.2608256,7019.82021392441,3465257.33795024,356093.7,10967214953.8077,144446,567742,430208327,13014956189303400,199646360,660770294,2023-09-14 19:00:20
GOA,1993,929,Chirikof,21740,walleye pollock,Gadus chalcogrammus,172,124,2880.34792875415,700249.220623406,3310.76409190346,878270.429328568,181561.3,2782325586.921,73850,289272,208692052,3489663702276580,88064219,329319885,2023-09-14 19:00:20
GOA,1993,939,Kodiak,21740,walleye pollock,Gadus chalcogrammus,240,190,1977.26688351317,107170.089016304,2493.39933698355,184317.988216728,190311.8,992823140.945653,127294,253330,239988738,1707520873349990,157344419,322633057,2023-09-14 19:00:20
GOA,1993,949,Yakutat,21740,walleye pollock,Gadus chalcogrammus,124,119,568.020181718474,24549.2082834035,1751.07908560572,221218.018295749,30582.7,71164198.7486859,9940,51225,94279514,641275386116302,32313116,156245912,2023-09-14 19:00:20
GOA,1993,959,Southeastern,21740,walleye pollock,Gadus chalcogrammus,68,55,296.694857760154,6211.23542785016,1573.65616072289,792923.543249177,5712.3,2302496.57863985,2565,8859,30298972,293935685848915,0,65856774,2023-09-14 19:00:20
GOA,1996,919,Shumagin,21740,walleye pollock,Gadus chalcogrammus,200,170,2657.17694550232,288483.847289267,4886.86015015472,1947548.10043422,162845.5,1083499511.7599,97012,228679,299491142,7314681344475800,128439321,470542963,2023-09-14 19:00:20
